NEAR WEST SIDE,120,60607,9/26/2020,40,749,0,4,29591,1311
LOOP,121,60607,10/10/2020,34,801,0,4,29591,1211
NEAR WEST SIDE,121,60607,10/10/2020,34,801,0,4,29591,1211
LOOP,122,60607,10/24/2020,84,943,0,4,29591,1412
NEAR WEST SIDE,122,60607,10/24/2020,84,943,0,4,29591,1412
LOOP,123,60607,11/14/2020,166,1367,0,4,29591,2236
NEAR WEST SIDE,123,60607,11/14/2020,166,1367,0,4,29591,2236
LOOP,124,60607,4/17/2021,48,2600,0,8,29591,1733
NEAR WEST SIDE,124,60607,4/17/2021,48,2600,0,8,29591,1733
LOOP,125,60607,4/24/2021,34,2634,0,8,29591,1685
NEAR WEST SIDE,125,60607,4/24/2021,34,2634,0,8,29591,1685
NORTH LAWNDALE,126,60608,4/24/2021,68,7924,0,138,79205,2305
NEAR WEST SIDE,126,60608,4/24/2021,68,7924,0,138,79205,2305
SOUTH LAWNDALE,126,60608,4/24/2021,68,7924,0,138,79205,2305
BRIDGEPORT,126,60608,4/24/2021,68,7924,0,138,79205,2305
MCKINLEY PARK,126,60608,4/24/2021,68,7924,0,138,79205,2305
LOWER WEST SIDE,126,60608,4/24/2021,68,7924,0,138,79205,2305
BRIDGEPORT,127,60609,11/14/2020,452,4095,1,89,61495,2631
MCKINLEY PARK,127,60609,11/14/2020,452,4095,1,89,61495,2631
BRIGHTON PARK,127,60609,11/14/2020,452,4095,1,89,61495,2631
ARMOUR SQUARE,127,60609,11/14/2020,452,4095,1,89,61495,2631
NEW CITY,127,60609,11/14/2020,452,4095,1,89,61495,2631
GAGE PARK,127,60609,11/14/2020,452,4095,1,89,61495,2631
WASHINGTON PARK,127,60609,11/14/2020,452,4095,1,89,61495,2631
FULLER PARK,127,60609,11/14/2020,452,4095,1,89,61495,2631
DOUGLAS,127,60609,11/14/2020,452,4095,1,89,61495,2631
GRAND BOULEVARD,127,60609,11/14/2020,452,4095,1,89,61495,2631
BRIDGEPORT,128,60609,12/12/2020,270,5279,5,107,61495,2374
