PERMIT#,PERMIT_TYPE,APPLICATION_START_DATE,ISSUE_DATE,LATITUDE,LONGITUDE,zipcode,community_area
100943541,PERMIT - NEW CONSTRUCTION,10/8/2021,10/8/2021,41.93365615,-87.65374755,60657,LAKEVIEW
100938581,PERMIT - NEW CONSTRUCTION,10/8/2021,11/9/2021,42.0079301,-87.8085349,60631,NORWOOD PARK
100943551,PERMIT - NEW CONSTRUCTION,10/8/2021,10/8/2021,41.96370778,-87.65011398,60640,EDGEWATER
100943357,PERMIT - NEW CONSTRUCTION,10/8/2021,10/8/2021,41.88181246,-87.63102088,60603,LOOP
100931623,PERMIT - NEW CONSTRUCTION,10/8/2021,10/8/2021,41.94839378,-87.67844898,60613,
100941955,PERMIT - NEW CONSTRUCTION,10/7/2021,10/7/2021,41.67776039,-87.65366214,60827-6427,
100943356,PERMIT - NEW CONSTRUCTION,10/7/2021,10/7/2021,41.97511164,-87.71218266,60659,NORTH PARK
100942844,PERMIT - NEW CONSTRUCTION,10/7/2021,10/7/2021,41.85360329,-87.62398172,60616,ARMOUR SQUARE
100943322,PERMIT - NEW CONSTRUCTION,10/7/2021,10/7/2021,41.85996191,-87.63886501,60616,ARMOUR SQUARE
100943325,PERMIT - NEW CONSTRUCTION,10/7/2021,10/7/2021,41.8359761,-87.61154076,60653,KENWOOD
100942941,PERMIT - NEW CONSTRUCTION,10/7/2021,10/7/2021,41.94814844,-87.65710301,60613,
100938519,PERMIT - NEW CONSTRUCTION,10/6/2021,10/20/2021,41.81750007,-87.61245925,60653,KENWOOD
100939399,PERMIT - NEW CONSTRUCTION,10/6/2021,10/6/2021,41.93144711,-87.66246152,60614,LOGAN SQUARE
100942306,PERMIT - NEW CONSTRUCTION,10/6/2021,10/6/2021,41.96524258,-87.74411673,60630,FOREST GLEN
100937970,PERMIT - NEW CONSTRUCTION,10/6/2021,10/6/2021,41.83564548,-87.65822984,60608,NORTH LAWNDALE
100943023,PERMIT - NEW CONSTRUCTION,10/6/2021,10/6/2021,41.9908917,-87.67367523,60660,EDGEWATER
100938774,PERMIT - NEW CONSTRUCTION,10/4/2021,11/4/2021,41.80795534,-87.62265404,60653,KENWOOD
100938772,PERMIT - NEW CONSTRUCTION,10/4/2021,11/9/2021,41.80806836,-87.62265718,60653,KENWOOD
100941948,PERMIT - NEW CONSTRUCTION,10/1/2021,11/9/2021,41.92506715,-87.70110885,60647,LOGAN SQUARE
100936843,PERMIT - NEW CONSTRUCTION,10/1/2021,11/18/2021,41.79978034,-87.62407191,60637,WOODLAWN
100942324,PERMIT - NEW CONSTRUCTION,10/1/2021,10/1/2021,41.88449669,-87.64866551,60661,WEST TOWN
100932241,PERMIT - NEW CONSTRUCTION,10/1/2021,10/1/2021,41.97209508,-87.68186133,9020,
100925072,PERMIT - NEW CONSTRUCTION,10/1/2021,10/1/2021,41.97072267,-87.66934177,60640,EDGEWATER
100932249,PERMIT - NEW CONSTRUCTION,10/1/2021,10/1/2021,41.97198208,-87.68185814,60625,ALBANY PARK
100941952,PERMIT - NEW CONSTRUCTION,10/1/2021,10/1/2021,41.89245769,-87.62218801,60611,
100936699,PERMIT - NEW CONSTRUCTION,10/1/2021,10/1/2021,41.97699499,-87.77679363,60630,FOREST GLEN
100939571,PERMIT - NEW CONSTRUCTION,10/1/2021,10/1/2021,41.96951998,-87.66930986,60640,EDGEWATER
100937623,PERMIT - NEW CONSTRUCTION,10/1/2021,10/1/2021,41.89700757,-87.66868965,60622,WEST TOWN
100941922,PERMIT - NEW CONSTRUCTION,9/30/2021,10/14/2021,41.89488309,-87.63550308,60610,WEST TOWN
100939787,PERMIT - NEW CONSTRUCTION,9/30/2021,9/30/2021,41.91854077,-87.63599718,60614,LOGAN SQUARE
100937231,PERMIT - NEW CONSTRUCTION,9/30/2021,11/30/2021,41.91308756,-87.65916976,60642,WEST TOWN
100941951,PERMIT - NEW CONSTRUCTION,9/30/2021,9/30/2021,41.94740791,-87.64934263,60657,LAKEVIEW
100941891,PERMIT - NEW CONSTRUCTION,9/30/2021,9/30/2021,41.91762127,-87.71692852,60647,LOGAN SQUARE
100938844,PERMIT - NEW CONSTRUCTION,9/29/2021,9/29/2021,41.89565434,-87.62227998,60611,
100941354,PERMIT - NEW CONSTRUCTION,9/29/2021,9/29/2021,41.86327278,-87.65914247,60608,NORTH LAWNDALE
100941923,PERMIT - NEW CONSTRUCTION,9/29/2021,9/30/2021,41.95396536,-87.68425915,60625,ALBANY PARK
100940690,PERMIT - NEW CONSTRUCTION,9/29/2021,9/29/2021,41.97343171,-87.6889194,9020,
100940597,PERMIT - NEW CONSTRUCTION,9/29/2021,11/2/2021,41.89393134,-87.63049307,60610,WEST TOWN
100941766,PERMIT - NEW CONSTRUCTION,9/28/2021,9/28/2021,41.86262829,-87.61503109,IL,
100938771,PERMIT - NEW CONSTRUCTION,9/28/2021,9/28/2021,41.88158163,-87.63982439,60606,NEAR WEST SIDE
100907557,PERMIT - NEW CONSTRUCTION,9/28/2021,9/28/2021,41.68262817,-87.53996995,60617,EAST SIDE
100926233,PERMIT - NEW CONSTRUCTION,9/28/2021,9/28/2021,41.90648652,-87.69484698,60622,WEST TOWN
100938654,PERMIT - NEW CONSTRUCTION,9/28/2021,9/28/2021,41.91948003,-87.72432604,60647,LOGAN SQUARE
100932961,PERMIT - NEW CONSTRUCTION,9/28/2021,9/28/2021,41.83454736,-87.62799354,60616,ARMOUR SQUARE
100917755,PERMIT - NEW CONSTRUCTION,9/28/2021,10/21/2021,41.871922,-87.68993232,60624,HUMBOLDT PARK
100884883,PERMIT - NEW CONSTRUCTION,9/28/2021,9/30/2021,41.89680276,-87.64109007,60610,WEST TOWN
100940694,PERMIT - NEW CONSTRUCTION,9/28/2021,10/12/2021,41.92977326,-87.63939362,60614,LOGAN SQUARE
100917758,PERMIT - NEW CONSTRUCTION,9/28/2021,10/21/2021,41.87192155,-87.69001104,60624,HUMBOLDT PARK
100938777,PERMIT - NEW CONSTRUCTION,9/28/2021,9/28/2021,41.97178452,-87.68765498,60625,ALBANY PARK
100941530,PERMIT - NEW CONSTRUCTION,9/28/2021,9/28/2021,41.78811943,-87.59652778,60637,WOODLAWN
100940685,PERMIT - NEW CONSTRUCTION,9/27/2021,9/27/2021,41.91235702,-87.6484647,60614,LOGAN SQUARE
100941455,PERMIT - NEW CONSTRUCTION,9/27/2021,9/27/2021,41.79811009,-87.72805554,60629,WEST ELSDON
100941473,PERMIT - NEW CONSTRUCTION,9/27/2021,9/27/2021,42.00170362,-87.81468276,60631,NORWOOD PARK
100938517,PERMIT - NEW CONSTRUCTION,9/27/2021,11/30/2021,41.88476169,-87.65898834,60607,LOOP
100936859,PERMIT - NEW CONSTRUCTION,9/27/2021,10/15/2021,41.95293524,-87.67038702,60613,
100936842,PERMIT - NEW CONSTRUCTION,9/27/2021,10/4/2021,41.79983363,-87.62407321,60637,WOODLAWN
100940315,PERMIT - NEW CONSTRUCTION,9/27/2021,11/1/2021,41.80275763,-87.68412052,60643,WASHINGTON HEIGHTS
100912748,PERMIT - NEW CONSTRUCTION,9/27/2021,10/6/2021,41.94400253,-87.66863395,60613,
100936844,PERMIT - NEW CONSTRUCTION,9/27/2021,9/30/2021,41.79972705,-87.62407061,60637,WOODLAWN
100940697,PERMIT - NEW CONSTRUCTION,9/27/2021,9/27/2021,41.93963807,-87.6820306,60618,AVONDALE
100935388,PERMIT - NEW CONSTRUCTION,9/24/2021,9/24/2021,41.7937193,-87.62067384,60637,WOODLAWN
100937070,PERMIT - NEW CONSTRUCTION,9/24/2021,10/6/2021,41.94060817,-87.67735975,60657,LAKEVIEW
100938470,PERMIT - NEW CONSTRUCTION,9/24/2021,9/24/2021,41.81124879,-87.6203633,60653,KENWOOD
100939302,PERMIT - NEW CONSTRUCTION,9/24/2021,11/9/2021,41.77746508,-87.72990738,60629,WEST ELSDON
100936005,PERMIT - NEW CONSTRUCTION,9/24/2021,9/24/2021,41.97155727,-87.68764634,60625,ALBANY PARK
100939780,PERMIT - NEW CONSTRUCTION,9/24/2021,10/5/2021,41.8765621,-87.63353978,60604,LOOP
100936286,PERMIT - NEW CONSTRUCTION,9/24/2021,9/24/2021,41.93045668,-87.65878064,60657,LAKEVIEW
100931045,PERMIT - NEW CONSTRUCTION,9/24/2021,9/24/2021,41.94922687,-87.67028233,60613,
100939779,PERMIT - NEW CONSTRUCTION,9/24/2021,10/5/2021,41.9176515,-87.63576931,60610,WEST TOWN
100938475,PERMIT - NEW CONSTRUCTION,9/24/2021,9/24/2021,41.81125281,-87.62009028,60637,WOODLAWN
100917750,PERMIT - NEW CONSTRUCTION,9/23/2021,10/21/2021,41.8719235,-87.68977704,60624,HUMBOLDT PARK
100939269,PERMIT - NEW CONSTRUCTION,9/23/2021,9/23/2021,41.93990796,-87.66152184,60657,LAKEVIEW
100917741,PERMIT - NEW CONSTRUCTION,9/23/2021,10/21/2021,41.87192662,-87.68946639,60624,HUMBOLDT PARK
100917752,PERMIT - NEW CONSTRUCTION,9/23/2021,10/21/2021,41.87192275,-87.68985468,60624,HUMBOLDT PARK
100917746,PERMIT - NEW CONSTRUCTION,9/23/2021,10/21/2021,41.87192584,-87.68954403,60624,HUMBOLDT PARK
